Asset_Number,Lag,ACF_Value
600053,14,0.0186
600053,15,-0.0352
600053,16,-0.0523
600053,17,0.0537
600053,18,-0.0306
600053,19,0.0398
600053,20,-0.0026
600054,0,1.0
600054,1,-0.0198
600054,2,-0.1409
600054,3,-0.1128
600054,4,-0.0721
600054,5,-0.0118
600054,6,-0.0523
600054,7,-0.0807
600054,8,0.0172
600054,9,0.0219
600054,10,0.0148
600054,11,-0.0402
600054,12,-0.0245
600054,13,0.0472
600054,14,-0.0129
600054,15,-0.0058
600054,16,-0.0035
600054,17,-0.0408
600054,18,0.0416
600054,19,0.0195
600054,20,-0.0419
600055,0,1.0
600055,1,-0.0153
600055,2,-0.1231
600055,3,-0.1199
600055,4,-0.1071
600055,5,-0.0271
600055,6,-0.0399
600055,7,0.0107
600055,8,-0.0288
600055,9,0.0319
600055,10,-0.0204
600055,11,-0.029
600055,12,-0.0329
600055,13,-0.0136
600055,14,0.0416
600055,15,-0.0152
600055,16,0.0231
600055,17,0.0344
600055,18,-0.0119
600055,19,-0.0191
600055,20,0.027
600056,0,1.0
600056,1,-0.0166
600056,2,-0.1274
600056,3,-0.0916
600056,4,-0.0643
600056,5,-0.0546
600056,6,-0.055
600056,7,-0.0062
600056,8,-0.0241
600056,9,-0.0168
600056,10,-0.0161
600056,11,-0.024
600056,12,-0.0427
600056,13,0.0211
600056,14,0.0175
600056,15,0.0262
600056,16,-0.0158
600056,17,0.0411
600056,18,-0.0034
600056,19,0.0029
600056,20,-0.0291
600057,0,1.0
600057,1,-0.0149
600057,2,-0.1132
600057,3,-0.0643
600057,4,-0.0334
600057,5,-0.0475
600057,6,-0.0293
600057,7,-0.0105
600057,8,-0.0733
600057,9,-0.0568
600057,10,-0.03
600057,11,-0.0194
600057,12,0.0055
600057,13,-0.0456
600057,14,-0.0141
600057,15,0.0713
600057,16,-0.042
600057,17,-0.0054
600057,18,-0.0339
600057,19,-0.0107
600057,20,-0.0097
600058,0,1.0
600058,1,-0.0163
600058,2,-0.1337
600058,3,-0.0751
600058,4,-0.0717
600058,5,-0.0311
600058,6,-0.0205
600058,7,-0.0318
600058,8,-0.0659
600058,9,-0.0257
600058,10,0.0016
600058,11,-0.0622
600058,12,-0.0093
600058,13,0.0308
600058,14,-0.0265
600058,15,-0.0014
600058,16,0.0099
600058,17,-0.0254
600058,18,0.005
600058,19,0.1024
600058,20,0.0174
600059,0,1.0
600059,1,-0.0204
600059,2,-0.1534
600059,3,-0.0843
600059,4,-0.0901
600059,5,-0.0086
600059,6,-0.0001
600059,7,-0.0522
600059,8,-0.0514
600059,9,-0.0633
600059,10,-0.0197
600059,11,0.0566
600059,12,0.0241
600059,13,-0.0019
600059,14,-0.0182
600059,15,-0.038
600059,16,-0.0359
600059,17,0.0389
600059,18,0.0354
